Chromosome;Type;Coord1;Coord2;Strand;ID;Name
chr7;miRNA_primary_transcript;128207872;128207943;+;MI0000252;hsa-mir-129-1
chr7;miRNA_primary_transcript;25949919;25949986;-;MI0000253;hsa-mir-148a
chr6;miRNA_primary_transcript;71376960;71377031;-;MI0000254;hsa-mir-30c-2
chr8;miRNA_primary_transcript;134804876;134804945;-;MI0000255;hsa-mir-30d
chr11;miRNA_primary_transcript;72615063;72615130;-;MI0000261;hsa-mir-139
chr9;miRNA_primary_transcript;120244979;120245050;-;MI0000262;hsa-mir-147a
chr9;miRNA_primary_transcript;83969748;83969857;-;MI0000263;hsa-mir-7-1
chr15;miRNA_primary_transcript;88611825;88611934;+;MI0000264;hsa-mir-7-2
chr19;miRNA_primary_transcript;4770670;4770779;+;MI0000265;hsa-mir-7-3
chr17;miRNA_primary_transcript;48579838;48579947;-;MI0000266;hsa-mir-10a
chr2;miRNA_primary_transcript;176150303;176150412;+;MI0000267;hsa-mir-10b
chr1;miRNA_primary_transcript;9151668;9151777;-;MI0000268;hsa-mir-34a
chr9;miRNA_primary_transcript;124692442;124692551;+;MI0000269;hsa-mir-181a-2
chr1;miRNA_primary_transcript;198858873;198858982;-;MI0000270;hsa-mir-181b-1
chr19;miRNA_primary_transcript;13874699;13874808;+;MI0000271;hsa-mir-181c
chr7;miRNA_primary_transcript;129770383;129770492;-;MI0000272;hsa-mir-182
chr7;miRNA_primary_transcript;129774905;129775014;-;MI0000273;hsa-mir-183
chr18;miRNA_primary_transcript;35904818;35904926;-;MI0000274;hsa-mir-187
chr12;miRNA_primary_transcript;53991738;53991847;+;MI0000279;hsa-mir-196a-2
chr1;miRNA_primary_transcript;172144535;172144644;-;MI0000281;hsa-mir-199a-2
chr9;miRNA_primary_transcript;128244721;128244830;-;MI0000282;hsa-mir-199b
chr14;miRNA_primary_transcript;104117405;104117514;+;MI0000283;hsa-mir-203a
chr9;miRNA_primary_transcript;70809975;70810084;-;MI0000284;hsa-mir-204
chr1;miRNA_primary_transcript;209432133;209432242;+;MI0000285;hsa-mir-205
chr11;miRNA_primary_transcript;568089;568198;-;MI0000286;hsa-mir-210
chr15;miRNA_primary_transcript;31065032;31065141;-;MI0000287;hsa-mir-211
chr17;miRNA_primary_transcript;2050271;2050380;-;MI0000288;hsa-mir-212
chr1;miRNA_primary_transcript;198859044;198859153;-;MI0000289;hsa-mir-181a-1
chr1;miRNA_primary_transcript;172138798;172138907;-;MI0000290;hsa-mir-214
chr1;miRNA_primary_transcript;220117853;220117962;-;MI0000291;hsa-mir-215
chr2;miRNA_primary_transcript;55988950;55989059;-;MI0000292;hsa-mir-216a
chr2;miRNA_primary_transcript;55982967;55983076;-;MI0000293;hsa-mir-217
chr4;miRNA_primary_transcript;20528275;20528384;+;MI0000294;hsa-mir-218-1
chr5;miRNA_primary_transcript;168768146;168768255;-;MI0000295;hsa-mir-218-2
chr6;miRNA_primary_transcript;33207835;33207944;+;MI0000296;hsa-mir-219a-1
chrX;miRNA_primary_transcript;45746157;45746266;-;MI0000298;hsa-mir-221
chrX;miRNA_primary_transcript;45747015;45747124;-;MI0000299;hsa-mir-222
chrX;miRNA_primary_transcript;66018870;66018979;+;MI0000300;hsa-mir-223
chrX;miRNA_primary_transcript;151958578;151958658;-;MI0000301;hsa-mir-224
chr1;miRNA_primary_transcript;1167104;1167198;+;MI0000342;hsa-mir-200b
chr3;miRNA_primary_transcript;52268278;52268361;-;MI0000433;hsa-let-7g
chr12;miRNA_primary_transcript;62603686;62603769;+;MI0000434;hsa-let-7i
chr18;miRNA_primary_transcript;21829004;21829088;-;MI0000437;hsa-mir-1-2
chr3;miRNA_primary_transcript;160404588;160404685;+;MI0000438;hsa-mir-15b
chr9;miRNA_primary_transcript;95085208;95085304;+;MI0000439;hsa-mir-23b
chr9;miRNA_primary_transcript;95085445;95085541;+;MI0000440;hsa-mir-27b
chr8;miRNA_primary_transcript;134800520;134800607;-;MI0000441;hsa-mir-30b
chr18;miRNA_primary_transcript;58451074;58451158;+;MI0000442;hsa-mir-122
chr8;miRNA_primary_transcript;9903388;9903472;-;MI0000443;hsa-mir-124-1
chr8;miRNA_primary_transcript;64379149;64379257;+;MI0000444;hsa-mir-124-2
chr20;miRNA_primary_transcript;63178500;63178586;+;MI0000445;hsa-mir-124-3
chr11;miRNA_primary_transcript;122099757;122099844;-;MI0000446;hsa-mir-125b-1
chr2;miRNA_primary_transcript;135665397;135665478;+;MI0000447;hsa-mir-128-1
chr11;miRNA_primary_transcript;57641198;57641286;+;MI0000448;hsa-mir-130a
chr17;miRNA_primary_transcript;2049908;2050008;-;MI0000449;hsa-mir-132
chr18;miRNA_primary_transcript;21825698;21825785;-;MI0000450;hsa-mir-133a-1
chr20;miRNA_primary_transcript;62564912;62565013;+;MI0000451;hsa-mir-133a-2
chr3;miRNA_primary_transcript;52294219;52294308;-;MI0000452;hsa-mir-135a-1
chr12;miRNA_primary_transcript;97563812;97563911;+;MI0000453;hsa-mir-135a-2
chr1;miRNA_primary_transcript;98046070;98046171;-;MI0000454;hsa-mir-137
chr16;miRNA_primary_transcript;56858518;56858601;+;MI0000455;hsa-mir-138-2
chr16;miRNA_primary_transcript;69933081;69933180;+;MI0000456;hsa-mir-140
chr12;miRNA_primary_transcript;6964097;6964191;+;MI0000457;hsa-mir-141
chr17;miRNA_primary_transcript;58331232;58331318;-;MI0000458;hsa-mir-142
chr5;miRNA_primary_transcript;149428918;149429023;+;MI0000459;hsa-mir-143
chr17;miRNA_primary_transcript;28861533;28861618;-;MI0000460;hsa-mir-144
chr5;miRNA_primary_transcript;149430646;149430733;+;MI0000461;hsa-mir-145
chr17;miRNA_primary_transcript;48037161;48037247;-;MI0000462;hsa-mir-152
chr2;miRNA_primary_transcript;219294111;219294200;-;MI0000463;hsa-mir-153-1
chr7;miRNA_primary_transcript;157574336;157574422;-;MI0000464;hsa-mir-153-2
chr3;miRNA_primary_transcript;49020618;49020709;-;MI0000465;hsa-mir-191
chr1;miRNA_primary_transcript;156420341;156420429;-;MI0000466;hsa-mir-9-1
chr5;miRNA_primary_transcript;88666853;88666939;-;MI0000467;hsa-mir-9-2
chr15;miRNA_primary_transcript;89368017;89368106;+;MI0000468;hsa-mir-9-3
chr19;miRNA_primary_transcript;51693254;51693339;+;MI0000469;hsa-mir-125a
chr21;miRNA_primary_transcript;16590237;16590325;+;MI0000470;hsa-mir-125b-2
chr9;miRNA_primary_transcript;136670602;136670686;+;MI0000471;hsa-mir-126
chr14;miRNA_primary_transcript;100882979;100883075;+;MI0000472;hsa-mir-127
chr11;miRNA_primary_transcript;43581394;43581483;+;MI0000473;hsa-mir-129-2
chr14;miRNA_primary_transcript;101054687;101054759;+;MI0000474;hsa-mir-134
chr14;miRNA_primary_transcript;100884702;100884783;+;MI0000475;hsa-mir-136
chr3;miRNA_primary_transcript;44114212;44114310;+;MI0000476;hsa-mir-138-1
chr5;miRNA_primary_transcript;160485352;160485450;+;MI0000477;hsa-mir-146a
chr2;miRNA_primary_transcript;240456001;240456089;+;MI0000478;hsa-mir-149
chr19;miRNA_primary_transcript;49500785;49500868;-;MI0000479;hsa-mir-150
chr14;miRNA_primary_transcript;101059755;101059838;+;MI0000480;hsa-mir-154
chr15;miRNA_primary_transcript;79209788;79209871;+;MI0000481;hsa-mir-184
chr22;miRNA_primary_transcript;20033139;20033220;+;MI0000482;hsa-mir-185
chr1;miRNA_primary_transcript;71067631;71067716;-;MI0000483;hsa-mir-186
chrX;miRNA_primary_transcript;50003503;50003588;+;MI0000484;hsa-mir-188
chr15;miRNA_primary_transcript;62823957;62824041;+;MI0000486;hsa-mir-190a
chr17;miRNA_primary_transcript;31559996;31560083;+;MI0000487;hsa-mir-193a
chr1;miRNA_primary_transcript;220118157;220118241;-;MI0000488;hsa-mir-194-1
chr17;miRNA_primary_transcript;7017615;7017701;-;MI0000489;hsa-mir-195
chr6;miRNA_primary_transcript;52144349;52144434;+;MI0000490;hsa-mir-206
chr8;miRNA_primary_transcript;22244962;22245043;-;MI0000542;hsa-mir-320a
chr12;miRNA_primary_transcript;6963699;6963766;+;MI0000650;hsa-mir-200c
chr20;miRNA_primary_transcript;62554306;62554376;+;MI0000651;hsa-mir-1-1
chr21;miRNA_primary_transcript;25573980;25574044;+;MI0000681;hsa-mir-155
chr9;miRNA_primary_transcript;124693710;124693798;+;MI0000683;hsa-mir-181b-2
chr3;miRNA_primary_transcript;35744476;35744559;+;MI0000727;hsa-mir-128-2
chr11;miRNA_primary_transcript;64891355;64891439;-;MI0000732;hsa-mir-194-2
chr7;miRNA_primary_transcript;100093993;100094074;-;MI0000734;hsa-mir-106b
chr1;miRNA_primary_transcript;207801852;207801939;-;MI0000735;hsa-mir-29c
chr1;miRNA_primary_transcript;40757284;40757372;+;MI0000736;hsa-mir-30c-1
chr1;miRNA_primary_transcript;1167863;1167952;+;MI0000737;hsa-mir-200a
chr4;miRNA_primary_transcript;112648183;112648251;-;MI0000738;hsa-mir-302a
chr9;miRNA_primary_transcript;4850297;4850375;+;MI0000739;hsa-mir-101-2
chr9;miRNA_primary_transcript;128392618;128392714;-;MI0000740;hsa-mir-219a-2
chr11;miRNA_primary_transcript;111512938;111513021;+;MI0000742;hsa-mir-34b
chr11;miRNA_primary_transcript;111513439;111513515;+;MI0000743;hsa-mir-34c
chr14;miRNA_primary_transcript;101023794;101023856;+;MI0000744;hsa-mir-299
chr17;miRNA_primary_transcript;59151136;59151221;-;MI0000745;hsa-mir-301a
chr19;miRNA_primary_transcript;51692612;51692681;+;MI0000746;hsa-mir-99b
chr20;miRNA_primary_transcript;58817615;58817694;-;MI0000747;hsa-mir-296
chr22;miRNA_primary_transcript;21653304;21653385;+;MI0000748;hsa-mir-130b
chr1;miRNA_primary_transcript;40754355;40754446;+;MI0000749;hsa-mir-30e
chr12;miRNA_primary_transcript;57824609;57824692;-;MI0000750;hsa-mir-26a-2
chrX;miRNA_primary_transcript;85903636;85903707;-;MI0000760;hsa-mir-361
chrX;miRNA_primary_transcript;50008964;50009028;+;MI0000762;hsa-mir-362
chrX;miRNA_primary_transcript;134169378;134169452;-;MI0000764;hsa-mir-363
chr16;miRNA_primary_transcript;14309285;14309371;+;MI0000767;hsa-mir-365a
chr17;miRNA_primary_transcript;31575411;31575521;+;MI0000769;hsa-mir-365b
chr4;miRNA_primary_transcript;112648485;112648557;-;MI0000772;hsa-mir-302b
chr4;miRNA_primary_transcript;112648363;112648430;-;MI0000773;hsa-mir-302c
chr4;miRNA_primary_transcript;112648004;112648071;-;MI0000774;hsa-mir-302d
chr4;miRNA_primary_transcript;112647874;112647941;-;MI0000775;hsa-mir-367
chr14;miRNA_primary_transcript;101039690;101039755;+;MI0000776;hsa-mir-376c
chr14;miRNA_primary_transcript;101065598;101065667;+;MI0000777;hsa-mir-369
chr14;miRNA_primary_transcript;100911139;100911213;+;MI0000778;hsa-mir-370
chr19;miRNA_primary_transcript;53787675;53787741;+;MI0000779;hsa-mir-371a
chr19;miRNA_primary_transcript;53787890;53787956;+;MI0000780;hsa-mir-372
chr19;miRNA_primary_transcript;53788705;53788773;+;MI0000781;hsa-mir-373
chrX;miRNA_primary_transcript;74287286;74287357;-;MI0000782;hsa-mir-374a
chr2;miRNA_primary_transcript;219001645;219001708;-;MI0000783;hsa-mir-375
chr14;miRNA_primary_transcript;101040782;101040849;+;MI0000784;hsa-mir-376a-1
chr14;miRNA_primary_transcript;101062050;101062118;+;MI0000785;hsa-mir-377
chr5;miRNA_primary_transcript;149732825;149732890;+;MI0000786;hsa-mir-378a
chr14;miRNA_primary_transcript;101022066;101022132;+;MI0000787;hsa-mir-379
chr14;miRNA_primary_transcript;101025017;101025077;+;MI0000788;hsa-mir-380
chr14;miRNA_primary_transcript;101045920;101045994;+;MI0000789;hsa-mir-381
chr14;miRNA_primary_transcript;101054306;101054381;+;MI0000790;hsa-mir-382
chr8;miRNA_primary_transcript;14853438;14853510;-;MI0000791;hsa-mir-383
chr5;miRNA_primary_transcript;180015303;180015397;-;MI0000802;hsa-mir-340
chr19;miRNA_primary_transcript;45638994;45639087;-;MI0000803;hsa-mir-330
chr16;miRNA_primary_transcript;67202321;67202395;-;MI0000804;hsa-mir-328
chr14;miRNA_primary_transcript;100109655;100109753;+;MI0000805;hsa-mir-342
chr14;miRNA_primary_transcript;100874493;100874585;+;MI0000806;hsa-mir-337
chr14;miRNA_primary_transcript;101025732;101025817;+;MI0000807;hsa-mir-323a
chr11;miRNA_primary_transcript;75335092;75335186;-;MI0000808;hsa-mir-326
chr8;miRNA_primary_transcript;140732564;140732653;-;MI0000809;hsa-mir-151a
chr1;miRNA_primary_transcript;205448302;205448398;-;MI0000810;hsa-mir-135b
chr12;miRNA_primary_transcript;54337216;54337314;+;MI0000811;hsa-mir-148b
chr12;miRNA_primary_transcript;95308420;95308513;+;MI0000812;hsa-mir-331
chr17;miRNA_primary_transcript;7223297;7223379;-;MI0000813;hsa-mir-324
chr17;miRNA_primary_transcript;81125883;81125949;-;MI0000814;hsa-mir-338
chr7;miRNA_primary_transcript;1022933;1023026;-;MI0000815;hsa-mir-339
chr7;miRNA_primary_transcript;130496111;130496204;+;MI0000816;hsa-mir-335
chr6;miRNA_primary_transcript;52148923;52149041;+;MI0000822;hsa-mir-133b
chrX;miRNA_primary_transcript;77005404;77005501;-;MI0000824;hsa-mir-325
chr14;miRNA_primary_transcript;100307859;100307956;+;MI0000825;hsa-mir-345
chr10;miRNA_primary_transcript;86264694;86264788;-;MI0000826;hsa-mir-346
chrX;miRNA_primary_transcript;76919273;76919360;-;MI0001145;hsa-mir-384
chr7;miRNA_primary_transcript;27169480;27169563;-;MI0001150;hsa-mir-196b
chr15;miRNA_primary_transcript;63870930;63871019;-;MI0001444;hsa-mir-422a
chr17;miRNA_primary_transcript;30117079;30117172;+;MI0001445;hsa-mir-423
chrX;miRNA_primary_transcript;134546614;134546711;-;MI0001446;hsa-mir-424
chr3;miRNA_primary_transcript;49020148;49020234;-;MI0001448;hsa-mir-425
chrX;miRNA_primary_transcript;134170041;134170111;-;MI0001518;hsa-mir-18b
chrX;miRNA_primary_transcript;134169809;134169877;-;MI0001519;hsa-mir-20b
chrX;miRNA_primary_transcript;114823454;114823564;+;MI0001637;hsa-mir-448
chr1;miRNA_primary_transcript;1169005;1169087;+;MI0001641;hsa-mir-429
chr5;miRNA_primary_transcript;55170532;55170622;-;MI0001648;hsa-mir-449a
chrX;miRNA_primary_transcript;134540341;134540431;-;MI0001652;hsa-mir-450a-1
chr14;miRNA_primary_transcript;100881007;100881120;+;MI0001721;hsa-mir-431
chr14;miRNA_primary_transcript;100881886;100881978;+;MI0001723;hsa-mir-433
chr14;miRNA_primary_transcript;101026785;101026864;+;MI0001725;hsa-mir-329-1
chr14;miRNA_primary_transcript;101027100;101027183;+;MI0001726;hsa-mir-329-2
chr17;miRNA_primary_transcript;28861369;28861440;-;MI0001729;hsa-mir-451a
chrX;miRNA_primary_transcript;151959628;151959712;-;MI0001733;hsa-mir-452
chr14;miRNA_primary_transcript;101065300;101065378;+;MI0001735;hsa-mir-409
chr14;miRNA_primary_transcript;101065447;101065537;+;MI0002464;hsa-mir-412
chr14;miRNA_primary_transcript;101065912;101065991;+;MI0002465;hsa-mir-410
chr14;miRNA_primary_transcript;101040436;101040535;+;MI0002466;hsa-mir-376b
chr11;miRNA_primary_transcript;2134134;2134209;-;MI0002467;hsa-mir-483
chr16;miRNA_primary_transcript;15643294;15643372;+;MI0002468;hsa-mir-484
chr14;miRNA_primary_transcript;101055419;101055491;+;MI0002469;hsa-mir-485
chr8;miRNA_primary_transcript;41660441;41660508;-;MI0002470;hsa-mir-486-1
chr14;miRNA_primary_transcript;101052446;101052525;+;MI0002471;hsa-mir-487a
chr1;miRNA_primary_transcript;177029363;177029445;-;MI0003123;hsa-mir-488
chr7;miRNA_primary_transcript;93483936;93484019;-;MI0003124;hsa-mir-489
chr7;miRNA_primary_transcript;136903167;136903294;+;MI0003125;hsa-mir-490
chr9;miRNA_primary_transcript;20716105;20716188;+;MI0003126;hsa-mir-491
chr10;miRNA_primary_transcript;17845107;17845193;+;MI0003127;hsa-mir-511
chr10;miRNA_primary_transcript;102436512;102436584;+;MI0003129;hsa-mir-146b
chr10;miRNA_primary_transcript;133247511;133247620;-;MI0003130;hsa-mir-202
chr12;miRNA_primary_transcript;94834398;94834513;+;MI0003131;hsa-mir-492
chr14;miRNA_primary_transcript;100869060;100869148;+;MI0003132;hsa-mir-493
chr14;miRNA_primary_transcript;100884483;100884576;+;MI0003133;hsa-mir-432
chr14;miRNA_primary_transcript;101029634;101029714;+;MI0003134;hsa-mir-494
chr14;miRNA_primary_transcript;101033755;101033836;+;MI0003135;hsa-mir-495
chr14;miRNA_primary_transcript;101060573;101060674;+;MI0003136;hsa-mir-496
chr16;miRNA_primary_transcript;14303967;14304049;+;MI0003137;hsa-mir-193b
chr17;miRNA_primary_transcript;7017911;7018022;-;MI0003138;hsa-mir-497
chr19;miRNA_primary_transcript;13874875;13875011;+;MI0003139;hsa-mir-181d
chr19;miRNA_primary_transcript;53666679;53666762;+;MI0003140;hsa-mir-512-1
chr19;miRNA_primary_transcript;53669157;53669254;+;MI0003141;hsa-mir-512-2
chr19;miRNA_primary_transcript;53674197;53674320;+;MI0003142;hsa-mir-498
chr19;miRNA_primary_transcript;53675711;53675797;+;MI0003143;hsa-mir-520e
chr19;miRNA_primary_transcript;53679003;53679085;+;MI0003144;hsa-mir-515-1
chr19;miRNA_primary_transcript;53679940;53680023;+;MI0003145;hsa-mir-519e
chr19;miRNA_primary_transcript;53682159;53682245;+;MI0003146;hsa-mir-520f
chr19;miRNA_primary_transcript;53685009;53685091;+;MI0003147;hsa-mir-515-2
chr19;miRNA_primary_transcript;53686469;53686555;+;MI0003148;hsa-mir-519c
chr19;miRNA_primary_transcript;53690881;53690965;+;MI0003149;hsa-mir-520a
chr19;miRNA_primary_transcript;53694393;53694475;+;MI0003150;hsa-mir-526b
chr19;miRNA_primary_transcript;53695213;53695293;+;MI0003151;hsa-mir-519b
chr19;miRNA_primary_transcript;53697533;53697617;+;MI0003152;hsa-mir-525
chr19;miRNA_primary_transcript;53698385;53698471;+;MI0003153;hsa-mir-523
chr19;miRNA_primary_transcript;53700015;53700101;+;MI0003154;hsa-mir-518f
chr19;miRNA_primary_transcript;53701227;53701287;+;MI0003155;hsa-mir-520b
chr19;miRNA_primary_transcript;53702737;53702819;+;MI0003156;hsa-mir-518b
chr19;miRNA_primary_transcript;53706252;53706336;+;MI0003157;hsa-mir-526a-1
chr19;miRNA_primary_transcript;53707453;53707539;+;MI0003158;hsa-mir-520c
chr19;miRNA_primary_transcript;53708735;53708835;+;MI0003159;hsa-mir-518c
chr19;miRNA_primary_transcript;53711002;53711088;+;MI0003160;hsa-mir-524
chr19;miRNA_primary_transcript;53712268;53712354;+;MI0003161;hsa-mir-517a
chr19;miRNA_primary_transcript;53713347;53713434;+;MI0003162;hsa-mir-519d
chr19;miRNA_primary_transcript;53716594;53716680;+;MI0003163;hsa-mir-521-2
chr19;miRNA_primary_transcript;53720096;53720182;+;MI0003164;hsa-mir-520d
chr19;miRNA_primary_transcript;53721076;53721142;+;MI0003165;hsa-mir-517b
chr19;miRNA_primary_transcript;53722166;53722255;+;MI0003166;hsa-mir-520g
chr19;miRNA_primary_transcript;53725442;53725526;+;MI0003167;hsa-mir-516b-2
chr19;miRNA_primary_transcript;53726922;53726986;+;MI0003168;hsa-mir-526a-2
chr19;miRNA_primary_transcript;53729838;53729925;+;MI0003169;hsa-mir-518e
chr19;miRNA_primary_transcript;53731006;53731090;+;MI0003170;hsa-mir-518a-1
chr19;miRNA_primary_transcript;53734877;53734963;+;MI0003171;hsa-mir-518d
chr19;miRNA_primary_transcript;53736845;53736934;+;MI0003172;hsa-mir-516b-1
chr19;miRNA_primary_transcript;53739333;53739419;+;MI0003173;hsa-mir-518a-2
chr19;miRNA_primary_transcript;53741313;53741407;+;MI0003174;hsa-mir-517c
chr19;miRNA_primary_transcript;53742512;53742599;+;MI0003175;hsa-mir-520h
chr19;miRNA_primary_transcript;53748636;53748722;+;MI0003176;hsa-mir-521-1
chr19;miRNA_primary_transcript;53751211;53751297;+;MI0003177;hsa-mir-522
chr19;miRNA_primary_transcript;53752397;53752481;+;MI0003178;hsa-mir-519a-1
chr19;miRNA_primary_transcript;53754018;53754102;+;MI0003179;hsa-mir-527
chr19;miRNA_primary_transcript;53756741;53756830;+;MI0003180;hsa-mir-516a-1
chr19;miRNA_primary_transcript;53761133;53761222;+;MI0003181;hsa-mir-516a-2
chr19;miRNA_primary_transcript;53762344;53762430;+;MI0003182;hsa-mir-519a-2
chr20;miRNA_primary_transcript;34990376;34990497;+;MI0003183;hsa-mir-499a
chrX;miRNA_primary_transcript;50008431;50008514;+;MI0003184;hsa-mir-500a
chrX;miRNA_primary_transcript;50009722;50009805;+;MI0003185;hsa-mir-501
chrX;miRNA_primary_transcript;50014598;50014683;+;MI0003186;hsa-mir-502
chrX;miRNA_primary_transcript;134540508;134540607;-;MI0003187;hsa-mir-450a-2
chrX;miRNA_primary_transcript;134546328;134546398;-;MI0003188;hsa-mir-503
chrX;miRNA_primary_transcript;138667711;138667793;-;MI0003189;hsa-mir-504
chrX;miRNA_primary_transcript;139924148;139924231;-;MI0003190;hsa-mir-505
chrX;miRNA_primary_transcript;147213463;147213591;-;MI0003191;hsa-mir-513a-1
chrX;miRNA_primary_transcript;147225826;147225952;-;MI0003192;hsa-mir-513a-2
chrX;miRNA_primary_transcript;147230720;147230843;-;MI0003193;hsa-mir-506
chrX;miRNA_primary_transcript;147230984;147231077;-;MI0003194;hsa-mir-507
chrX;miRNA_primary_transcript;147236913;147237027;-;MI0003195;hsa-mir-508
chrX;miRNA_primary_transcript;147260532;147260625;-;MI0003196;hsa-mir-509-1
chrX;miRNA_primary_transcript;147272335;147272408;-;MI0003197;hsa-mir-510
chrX;miRNA_primary_transcript;147279247;147279344;-;MI0003198;hsa-mir-514a-1
chrX;miRNA_primary_transcript;147281943;147282030;-;MI0003199;hsa-mir-514a-2
chrX;miRNA_primary_transcript;147284641;147284728;-;MI0003200;hsa-mir-514a-3
chrX;miRNA_primary_transcript;50003148;50003238;+;MI0003205;hsa-mir-532
chr9;miRNA_primary_transcript;114209434;114209529;+;MI0003513;hsa-mir-455
chr14;miRNA_primary_transcript;101047321;101047398;+;MI0003514;hsa-mir-539
chr14;miRNA_primary_transcript;101048658;101048748;+;MI0003515;hsa-mir-544a
chrX;miRNA_primary_transcript;74287104;74287209;-;MI0003516;hsa-mir-545
chr14;miRNA_primary_transcript;101040069;101040148;+;MI0003529;hsa-mir-376a-2
chr14;miRNA_primary_transcript;101046455;101046538;+;MI0003530;hsa-mir-487b
chr1;miRNA_primary_transcript;3560695;3560790;-;MI0003556;hsa-mir-551a
chr1;miRNA_primary_transcript;34669599;34669694;-;MI0003557;hsa-mir-552
chr1;miRNA_primary_transcript;100281241;100281308;+;MI0003558;hsa-mir-553
