"","Chromosome","Coord1","Coord2","Strand","ID","Name","arm5p","arm3p","high_conf","mirtron"
"24","chr3",37969404,37969480,"+","MI0000083","hsa-mir-26a-1","hsa-miR-26a-5p","hsa-miR-26a-1-3p","1","canonical"
"25","chr2",218402646,218402722,"+","MI0000084","hsa-mir-26b","hsa-miR-26b-5p","hsa-miR-26b-3p","0","canonical"
"26","chr19",13836440,13836517,"-","MI0000085","hsa-mir-27a","hsa-miR-27a-5p","hsa-miR-27a-3p","1","canonical"
"27","chr3",188688781,188688866,"+","MI0000086","hsa-mir-28","hsa-miR-28-5p","hsa-miR-28-3p","1","canonical"
"28","chr7",130876747,130876810,"-","MI0000087","hsa-mir-29a","hsa-miR-29a-5p","hsa-miR-29a-3p","1","canonical"
"29","chr6",71403551,71403621,"-","MI0000088","hsa-mir-30a","hsa-miR-30a-5p","hsa-miR-30a-3p","1","canonical"
"30","chr9",21512115,21512185,"-","MI0000089","hsa-mir-31","hsa-miR-31-5p","hsa-miR-31-3p","1","canonical"
"31","chr9",109046229,109046298,"-","MI0000090","hsa-mir-32","hsa-miR-32-5p","hsa-miR-32-3p","1","canonical"
"32","chr22",41900944,41901012,"+","MI0000091","hsa-mir-33a","hsa-miR-33a-5p","hsa-miR-33a-3p","1","canonical"
"33","chr13",91351314,91351391,"+","MI0000093","hsa-mir-92a-1","hsa-miR-92a-1-5p","hsa-miR-92a-3p","1","canonical"
"34","chrX",134169538,134169612,"-","MI0000094","hsa-mir-92a-2","hsa-miR-92a-2-5p","hsa-miR-92a-3p","1","canonical"
"35","chr7",100093768,100093847,"-","MI0000095","hsa-mir-93","hsa-miR-93-5p","hsa-miR-93-3p","1","canonical"
"36","chr4",8005301,8005381,"-","MI0000097","hsa-mir-95","hsa-miR-95-5p","hsa-miR-95-3p","0","canonical"
"37","chr7",129774692,129774769,"-","MI0000098","hsa-mir-96","hsa-miR-96-5p","hsa-miR-96-3p","1","canonical"
"38","chrX",53556223,53556341,"-","MI0000100","hsa-mir-98","hsa-miR-98-5p","hsa-miR-98-3p","1","canonical"
"39","chr21",16539089,16539169,"+","MI0000101","hsa-mir-99a","hsa-miR-99a-5p","hsa-miR-99a-3p","1","canonical"
"40","chr11",122152229,122152308,"-","MI0000102","hsa-mir-100","hsa-miR-100-5p","hsa-miR-100-3p","1","canonical"
"41","chr1",65058434,65058508,"-","MI0000103","hsa-mir-101-1","hsa-miR-101-5p","hsa-miR-101-3p","1","canonical"
"42","chr7",130877459,130877539,"-","MI0000105","hsa-mir-29b-1","hsa-miR-29b-1-5p","hsa-miR-29b-3p","1","canonical"
"43","chr1",207802443,207802523,"-","MI0000107","hsa-mir-29b-2","hsa-miR-29b-2-5p","hsa-miR-29b-3p","0","canonical"
"44","chr20",3917494,3917571,"+","MI0000108","hsa-mir-103a-2","hsa-miR-103a-2-5p","hsa-miR-103a-3p","1","canonical"
"46","chrX",152392219,152392299,"-","MI0000111","hsa-mir-105-1","hsa-miR-105-5p","hsa-miR-105-3p","1","canonical"
"47","chrX",152394412,152394492,"-","MI0000112","hsa-mir-105-2","hsa-miR-105-5p","hsa-miR-105-3p","1","canonical"
"48","chrX",134170198,134170278,"-","MI0000113","hsa-mir-106a","hsa-miR-106a-5p","hsa-miR-106a-3p","1","canonical"
"50","chr3",160404745,160404825,"+","MI0000115","hsa-mir-16-2","hsa-miR-16-5p","hsa-miR-16-2-3p","1","canonical"
"51","chr11",64891137,64891246,"-","MI0000234","hsa-mir-192","hsa-miR-192-5p","hsa-miR-192-3p","1","canonical"
"53","chr1",109598893,109598967,"+","MI0000239","hsa-mir-197","hsa-miR-197-5p","hsa-miR-197-3p","1","canonical"
"55","chr19",10817426,10817496,"-","MI0000242","hsa-mir-199a-1","hsa-miR-199a-5p","hsa-miR-199a-3p","1","canonical"
"56","chr14",23388596,23388666,"-","MI0000251","hsa-mir-208a","hsa-miR-208a-5p","hsa-miR-208a-3p","0","canonical"
"57","chr7",128207872,128207943,"+","MI0000252","hsa-mir-129-1","hsa-miR-129-5p","hsa-miR-129-1-3p","1","canonical"
"58","chr7",25949919,25949986,"-","MI0000253","hsa-mir-148a","hsa-miR-148a-5p","hsa-miR-148a-3p","1","canonical"
"59","chr6",71376960,71377031,"-","MI0000254","hsa-mir-30c-2","hsa-miR-30c-5p","hsa-miR-30c-2-3p","1","canonical"
"60","chr8",134804876,134804945,"-","MI0000255","hsa-mir-30d","hsa-miR-30d-5p","hsa-miR-30d-3p","1","canonical"
"61","chr11",72615063,72615130,"-","MI0000261","hsa-mir-139","hsa-miR-139-5p","hsa-miR-139-3p","1","canonical"
"63","chr9",83969748,83969857,"-","MI0000263","hsa-mir-7-1","hsa-miR-7-5p","hsa-miR-7-1-3p","1","canonical"
"64","chr15",88611825,88611934,"+","MI0000264","hsa-mir-7-2","hsa-miR-7-5p","hsa-miR-7-2-3p","0","canonical"
"66","chr17",48579838,48579947,"-","MI0000266","hsa-mir-10a","hsa-miR-10a-5p","hsa-miR-10a-3p","1","canonical"
"67","chr2",176150303,176150412,"+","MI0000267","hsa-mir-10b","hsa-miR-10b-5p","hsa-miR-10b-3p","1","canonical"
"68","chr1",9151668,9151777,"-","MI0000268","hsa-mir-34a","hsa-miR-34a-5p","hsa-miR-34a-3p","1","canonical"
"69","chr9",124692442,124692551,"+","MI0000269","hsa-mir-181a-2","hsa-miR-181a-5p","hsa-miR-181a-2-3p","0","canonical"
"70","chr1",198858873,198858982,"-","MI0000270","hsa-mir-181b-1","hsa-miR-181b-5p","hsa-miR-181b-3p","0","canonical"
"71","chr19",13874699,13874808,"+","MI0000271","hsa-mir-181c","hsa-miR-181c-5p","hsa-miR-181c-3p","0","canonical"
"72","chr7",129770383,129770492,"-","MI0000272","hsa-mir-182","hsa-miR-182-5p","hsa-miR-182-3p","1","canonical"
"73","chr7",129774905,129775014,"-","MI0000273","hsa-mir-183","hsa-miR-183-5p","hsa-miR-183-3p","1","canonical"
"74","chr18",35904818,35904926,"-","MI0000274","hsa-mir-187","hsa-miR-187-5p","hsa-miR-187-3p","0","canonical"
"75","chr12",53991738,53991847,"+","MI0000279","hsa-mir-196a-2","hsa-miR-196a-5p","hsa-miR-196a-3p","1","canonical"
"76","chr1",172144535,172144644,"-","MI0000281","hsa-mir-199a-2","hsa-miR-199a-5p","hsa-miR-199a-3p","1","canonical"
"77","chr9",128244721,128244830,"-","MI0000282","hsa-mir-199b","hsa-miR-199b-5p","hsa-miR-199b-3p","1","canonical"
"78","chr14",104117405,104117514,"+","MI0000283","hsa-mir-203a","hsa-miR-203a-5p","hsa-miR-203a-3p","1","canonical"
"79","chr9",70809975,70810084,"-","MI0000284","hsa-mir-204","hsa-miR-204-5p","hsa-miR-204-3p","0","canonical"
"80","chr1",209432133,209432242,"+","MI0000285","hsa-mir-205","hsa-miR-205-5p","hsa-miR-205-3p","0","canonical"
"81","chr11",568089,568198,"-","MI0000286","hsa-mir-210","hsa-miR-210-5p","hsa-miR-210-3p","1","canonical"
"82","chr15",31065032,31065141,"-","MI0000287","hsa-mir-211","hsa-miR-211-5p","hsa-miR-211-3p","1","canonical"
"83","chr17",2050271,2050380,"-","MI0000288","hsa-mir-212","hsa-miR-212-5p","hsa-miR-212-3p","0","canonical"
"84","chr1",198859044,198859153,"-","MI0000289","hsa-mir-181a-1","hsa-miR-181a-5p","hsa-miR-181a-3p","1","canonical"
"85","chr1",172138798,172138907,"-","MI0000290","hsa-mir-214","hsa-miR-214-5p","hsa-miR-214-3p","0","canonical"
"86","chr1",220117853,220117962,"-","MI0000291","hsa-mir-215","hsa-miR-215-5p","hsa-miR-215-3p","0","canonical"
"87","chr2",55988950,55989059,"-","MI0000292","hsa-mir-216a","hsa-miR-216a-5p","hsa-miR-216a-3p","0","canonical"
"89","chr4",20528275,20528384,"+","MI0000294","hsa-mir-218-1","hsa-miR-218-5p","hsa-miR-218-1-3p","1","canonical"
"90","chr5",168768146,168768255,"-","MI0000295","hsa-mir-218-2","hsa-miR-218-5p","hsa-miR-218-2-3p","0","canonical"
"91","chr6",33207835,33207944,"+","MI0000296","hsa-mir-219a-1","hsa-miR-219a-5p","hsa-miR-219a-1-3p","1","canonical"
"92","chrX",45746157,45746266,"-","MI0000298","hsa-mir-221","hsa-miR-221-5p","hsa-miR-221-3p","1","canonical"
"93","chrX",45747015,45747124,"-","MI0000299","hsa-mir-222","hsa-miR-222-5p","hsa-miR-222-3p","1","canonical"
"94","chrX",66018870,66018979,"+","MI0000300","hsa-mir-223","hsa-miR-223-5p","hsa-miR-223-3p","1","canonical"
"95","chrX",151958578,151958658,"-","MI0000301","hsa-mir-224","hsa-miR-224-5p","hsa-miR-224-3p","0","canonical"
"96","chr1",1167104,1167198,"+","MI0000342","hsa-mir-200b","hsa-miR-200b-5p","hsa-miR-200b-3p","1","canonical"
"97","chr3",52268278,52268361,"-","MI0000433","hsa-let-7g","hsa-let-7g-5p","hsa-let-7g-3p","1","canonical"
"98","chr12",62603686,62603769,"+","MI0000434","hsa-let-7i","hsa-let-7i-5p","hsa-let-7i-3p","0","canonical"
"100","chr3",160404588,160404685,"+","MI0000438","hsa-mir-15b","hsa-miR-15b-5p","hsa-miR-15b-3p","1","canonical"
"101","chr9",95085208,95085304,"+","MI0000439","hsa-mir-23b","hsa-miR-23b-5p","hsa-miR-23b-3p","0","canonical"
"102","chr9",95085445,95085541,"+","MI0000440","hsa-mir-27b","hsa-miR-27b-5p","hsa-miR-27b-3p","1","canonical"
"103","chr8",134800520,134800607,"-","MI0000441","hsa-mir-30b","hsa-miR-30b-5p","hsa-miR-30b-3p","1","canonical"
"104","chr18",58451074,58451158,"+","MI0000442","hsa-mir-122","hsa-miR-122-5p","hsa-miR-122-3p","0","canonical"
"105","chr8",9903388,9903472,"-","MI0000443","hsa-mir-124-1","hsa-miR-124-5p","hsa-miR-124-3p","0","canonical"
"106","chr8",64379149,64379257,"+","MI0000444","hsa-mir-124-2","hsa-miR-124-5p","hsa-miR-124-3p","0","canonical"
"107","chr20",63178500,63178586,"+","MI0000445","hsa-mir-124-3","hsa-miR-124-5p","hsa-miR-124-3p","0","canonical"
"108","chr11",122099757,122099844,"-","MI0000446","hsa-mir-125b-1","hsa-miR-125b-5p","hsa-miR-125b-1-3p","1","canonical"
"109","chr2",135665397,135665478,"+","MI0000447","hsa-mir-128-1","hsa-miR-128-1-5p","hsa-miR-128-3p","1","canonical"
"110","chr11",57641198,57641286,"+","MI0000448","hsa-mir-130a","hsa-miR-130a-5p","hsa-miR-130a-3p","0","canonical"
"111","chr17",2049908,2050008,"-","MI0000449","hsa-mir-132","hsa-miR-132-5p","hsa-miR-132-3p","1","canonical"
"112","chr18",21825698,21825785,"-","MI0000450","hsa-mir-133a-1","hsa-miR-133a-5p","hsa-miR-133a-3p","1","canonical"
"113","chr20",62564912,62565013,"+","MI0000451","hsa-mir-133a-2","hsa-miR-133a-5p","hsa-miR-133a-3p","1","canonical"
"114","chr3",52294219,52294308,"-","MI0000452","hsa-mir-135a-1","hsa-miR-135a-5p","hsa-miR-135a-3p","1","canonical"
"117","chr16",56858518,56858601,"+","MI0000455","hsa-mir-138-2","hsa-miR-138-5p","hsa-miR-138-2-3p","0","canonical"
"118","chr16",69933081,69933180,"+","MI0000456","hsa-mir-140","hsa-miR-140-5p","hsa-miR-140-3p","1","canonical"
"119","chr12",6964097,6964191,"+","MI0000457","hsa-mir-141","hsa-miR-141-5p","hsa-miR-141-3p","1","canonical"
"120","chr17",58331232,58331318,"-","MI0000458","hsa-mir-142","hsa-miR-142-5p","hsa-miR-142-3p","0","canonical"
"121","chr5",149428918,149429023,"+","MI0000459","hsa-mir-143","hsa-miR-143-5p","hsa-miR-143-3p","1","canonical"
"122","chr17",28861533,28861618,"-","MI0000460","hsa-mir-144","hsa-miR-144-5p","hsa-miR-144-3p","1","canonical"
"123","chr5",149430646,149430733,"+","MI0000461","hsa-mir-145","hsa-miR-145-5p","hsa-miR-145-3p","0","canonical"
"124","chr17",48037161,48037247,"-","MI0000462","hsa-mir-152","hsa-miR-152-5p","hsa-miR-152-3p","1","canonical"
"126","chr7",157574336,157574422,"-","MI0000464","hsa-mir-153-2","hsa-miR-153-5p","hsa-miR-153-3p","0","canonical"
"127","chr3",49020618,49020709,"-","MI0000465","hsa-mir-191","hsa-miR-191-5p","hsa-miR-191-3p","1","canonical"
"128","chr1",156420341,156420429,"-","MI0000466","hsa-mir-9-1","hsa-miR-9-5p","hsa-miR-9-3p","1","canonical"
"129","chr5",88666853,88666939,"-","MI0000467","hsa-mir-9-2","hsa-miR-9-5p","hsa-miR-9-3p","1","canonical"
"130","chr15",89368017,89368106,"+","MI0000468","hsa-mir-9-3","hsa-miR-9-5p","hsa-miR-9-3p","1","canonical"
"131","chr19",51693254,51693339,"+","MI0000469","hsa-mir-125a","hsa-miR-125a-5p","hsa-miR-125a-3p","1","canonical"
"132","chr21",16590237,16590325,"+","MI0000470","hsa-mir-125b-2","hsa-miR-125b-5p","hsa-miR-125b-2-3p","1","canonical"
"133","chr9",136670602,136670686,"+","MI0000471","hsa-mir-126","hsa-miR-126-5p","hsa-miR-126-3p","1","canonical"
"134","chr14",100882979,100883075,"+","MI0000472","hsa-mir-127","hsa-miR-127-5p","hsa-miR-127-3p","0","canonical"
"135","chr11",43581394,43581483,"+","MI0000473","hsa-mir-129-2","hsa-miR-129-5p","hsa-miR-129-2-3p","1","canonical"
"136","chr14",101054687,101054759,"+","MI0000474","hsa-mir-134","hsa-miR-134-5p","hsa-miR-134-3p","1","canonical"
"137","chr14",100884702,100884783,"+","MI0000475","hsa-mir-136","hsa-miR-136-5p","hsa-miR-136-3p","1","canonical"
"138","chr3",44114212,44114310,"+","MI0000476","hsa-mir-138-1","hsa-miR-138-5p","hsa-miR-138-1-3p","1","canonical"
"139","chr5",160485352,160485450,"+","MI0000477","hsa-mir-146a","hsa-miR-146a-5p","hsa-miR-146a-3p","1","canonical"
"140","chr2",240456001,240456089,"+","MI0000478","hsa-mir-149","hsa-miR-149-5p","hsa-miR-149-3p","1","canonical"
"141","chr19",49500785,49500868,"-","MI0000479","hsa-mir-150","hsa-miR-150-5p","hsa-miR-150-3p","1","canonical"
"142","chr14",101059755,101059838,"+","MI0000480","hsa-mir-154","hsa-miR-154-5p","hsa-miR-154-3p","1","canonical"
"144","chr22",20033139,20033220,"+","MI0000482","hsa-mir-185","hsa-miR-185-5p","hsa-miR-185-3p","1","canonical"
"145","chr1",71067631,71067716,"-","MI0000483","hsa-mir-186","hsa-miR-186-5p","hsa-miR-186-3p","1","canonical"
"146","chrX",50003503,50003588,"+","MI0000484","hsa-mir-188","hsa-miR-188-5p","hsa-miR-188-3p","1","canonical"
"147","chr15",62823957,62824041,"+","MI0000486","hsa-mir-190a","hsa-miR-190a-5p","hsa-miR-190a-3p","1","canonical"
"148","chr17",31559996,31560083,"+","MI0000487","hsa-mir-193a","hsa-miR-193a-5p","hsa-miR-193a-3p","1","canonical"
"150","chr17",7017615,7017701,"-","MI0000489","hsa-mir-195","hsa-miR-195-5p","hsa-miR-195-3p","1","canonical"
"153","chr12",6963699,6963766,"+","MI0000650","hsa-mir-200c","hsa-miR-200c-5p","hsa-miR-200c-3p","1","canonical"
"154","chr20",62554306,62554376,"+","MI0000651","hsa-mir-1-1","hsa-miR-1-5p","hsa-miR-1-3p","1","canonical"
"155","chr21",25573980,25574044,"+","MI0000681","hsa-mir-155","hsa-miR-155-5p","hsa-miR-155-3p","1","canonical"
"156","chr9",124693710,124693798,"+","MI0000683","hsa-mir-181b-2","hsa-miR-181b-5p","hsa-miR-181b-2-3p","1","canonical"
"157","chr3",35744476,35744559,"+","MI0000727","hsa-mir-128-2","hsa-miR-128-2-5p","hsa-miR-128-3p","1","canonical"
"158","chr11",64891355,64891439,"-","MI0000732","hsa-mir-194-2","hsa-miR-194-5p","hsa-miR-194-3p","1","canonical"
"159","chr7",100093993,100094074,"-","MI0000734","hsa-mir-106b","hsa-miR-106b-5p","hsa-miR-106b-3p","1","canonical"
"160","chr1",207801852,207801939,"-","MI0000735","hsa-mir-29c","hsa-miR-29c-5p","hsa-miR-29c-3p","0","canonical"
"161","chr1",40757284,40757372,"+","MI0000736","hsa-mir-30c-1","hsa-miR-30c-5p","hsa-miR-30c-1-3p","1","canonical"
"162","chr1",1167863,1167952,"+","MI0000737","hsa-mir-200a","hsa-miR-200a-5p","hsa-miR-200a-3p","1","canonical"
"163","chr4",112648183,112648251,"-","MI0000738","hsa-mir-302a","hsa-miR-302a-5p","hsa-miR-302a-3p","1","canonical"
"165","chr9",128392618,128392714,"-","MI0000740","hsa-mir-219a-2","hsa-miR-219a-5p","hsa-miR-219a-2-3p","1","canonical"
"166","chr11",111512938,111513021,"+","MI0000742","hsa-mir-34b","hsa-miR-34b-5p","hsa-miR-34b-3p","1","canonical"
"167","chr11",111513439,111513515,"+","MI0000743","hsa-mir-34c","hsa-miR-34c-5p","hsa-miR-34c-3p","1","canonical"
"168","chr14",101023794,101023856,"+","MI0000744","hsa-mir-299","hsa-miR-299-5p","hsa-miR-299-3p","1","canonical"
"169","chr17",59151136,59151221,"-","MI0000745","hsa-mir-301a","hsa-miR-301a-5p","hsa-miR-301a-3p","1","canonical"
"170","chr19",51692612,51692681,"+","MI0000746","hsa-mir-99b","hsa-miR-99b-5p","hsa-miR-99b-3p","1","canonical"
"171","chr20",58817615,58817694,"-","MI0000747","hsa-mir-296","hsa-miR-296-5p","hsa-miR-296-3p","1","canonical"
"172","chr22",21653304,21653385,"+","MI0000748","hsa-mir-130b","hsa-miR-130b-5p","hsa-miR-130b-3p","1","canonical"
"173","chr1",40754355,40754446,"+","MI0000749","hsa-mir-30e","hsa-miR-30e-5p","hsa-miR-30e-3p","1","canonical"
"174","chr12",57824609,57824692,"-","MI0000750","hsa-mir-26a-2","hsa-miR-26a-5p","hsa-miR-26a-2-3p","1","canonical"
"175","chrX",85903636,85903707,"-","MI0000760","hsa-mir-361","hsa-miR-361-5p","hsa-miR-361-3p","1","canonical"
"176","chrX",50008964,50009028,"+","MI0000762","hsa-mir-362","hsa-miR-362-5p","hsa-miR-362-3p","1","canonical"
"177","chrX",134169378,134169452,"-","MI0000764","hsa-mir-363","hsa-miR-363-5p","hsa-miR-363-3p","1","canonical"
"178","chr16",14309285,14309371,"+","MI0000767","hsa-mir-365a","hsa-miR-365a-5p","hsa-miR-365a-3p","1","canonical"
"179","chr17",31575411,31575521,"+","MI0000769","hsa-mir-365b","hsa-miR-365b-5p","hsa-miR-365b-3p","1","canonical"
"180","chr4",112648485,112648557,"-","MI0000772","hsa-mir-302b","hsa-miR-302b-5p","hsa-miR-302b-3p","0","canonical"
"181","chr4",112648363,112648430,"-","MI0000773","hsa-mir-302c","hsa-miR-302c-5p","hsa-miR-302c-3p","1","canonical"
"182","chr4",112648004,112648071,"-","MI0000774","hsa-mir-302d","hsa-miR-302d-5p","hsa-miR-302d-3p","0","canonical"
"183","chr4",112647874,112647941,"-","MI0000775","hsa-mir-367","hsa-miR-367-5p","hsa-miR-367-3p","0","canonical"
"184","chr14",101039690,101039755,"+","MI0000776","hsa-mir-376c","hsa-miR-376c-5p","hsa-miR-376c-3p","1","canonical"
"185","chr14",101065598,101065667,"+","MI0000777","hsa-mir-369","hsa-miR-369-5p","hsa-miR-369-3p","1","canonical"
"186","chr14",100911139,100911213,"+","MI0000778","hsa-mir-370","hsa-miR-370-5p","hsa-miR-370-3p","1","canonical"
"187","chr19",53787675,53787741,"+","MI0000779","hsa-mir-371a","hsa-miR-371a-5p","hsa-miR-371a-3p","0","canonical"
"188","chr19",53787890,53787956,"+","MI0000780","hsa-mir-372","hsa-miR-372-5p","hsa-miR-372-3p","0","canonical"
"189","chr19",53788705,53788773,"+","MI0000781","hsa-mir-373","hsa-miR-373-5p","hsa-miR-373-3p","0","canonical"
"190","chrX",74287286,74287357,"-","MI0000782","hsa-mir-374a","hsa-miR-374a-5p","hsa-miR-374a-3p","1","canonical"
"192","chr14",101040782,101040849,"+","MI0000784","hsa-mir-376a-1","hsa-miR-376a-5p","hsa-miR-376a-3p","1","canonical"
"193","chr14",101062050,101062118,"+","MI0000785","hsa-mir-377","hsa-miR-377-5p","hsa-miR-377-3p","1","canonical"
"194","chr5",149732825,149732890,"+","MI0000786","hsa-mir-378a","hsa-miR-378a-5p","hsa-miR-378a-3p","1","canonical"
"195","chr14",101022066,101022132,"+","MI0000787","hsa-mir-379","hsa-miR-379-5p","hsa-miR-379-3p","1","canonical"
"196","chr14",101025017,101025077,"+","MI0000788","hsa-mir-380","hsa-miR-380-5p","hsa-miR-380-3p","0","canonical"
"197","chr14",101045920,101045994,"+","MI0000789","hsa-mir-381","hsa-miR-381-5p","hsa-miR-381-3p","1","canonical"
"198","chr14",101054306,101054381,"+","MI0000790","hsa-mir-382","hsa-miR-382-5p","hsa-miR-382-3p","1","canonical"
"199","chr8",14853438,14853510,"-","MI0000791","hsa-mir-383","hsa-miR-383-5p","hsa-miR-383-3p","0","canonical"
"200","chr5",180015303,180015397,"-","MI0000802","hsa-mir-340","hsa-miR-340-5p","hsa-miR-340-3p","1","canonical"
"201","chr19",45638994,45639087,"-","MI0000803","hsa-mir-330","hsa-miR-330-5p","hsa-miR-330-3p","1","canonical"
"202","chr16",67202321,67202395,"-","MI0000804","hsa-mir-328","hsa-miR-328-5p","hsa-miR-328-3p","1","canonical"
"203","chr14",100109655,100109753,"+","MI0000805","hsa-mir-342","hsa-miR-342-5p","hsa-miR-342-3p","1","canonical"
"204","chr14",100874493,100874585,"+","MI0000806","hsa-mir-337","hsa-miR-337-5p","hsa-miR-337-3p","1","canonical"
"205","chr14",101025732,101025817,"+","MI0000807","hsa-mir-323a","hsa-miR-323a-5p","hsa-miR-323a-3p","1","canonical"
"207","chr8",140732564,140732653,"-","MI0000809","hsa-mir-151a","hsa-miR-151a-5p","hsa-miR-151a-3p","1","canonical"
"208","chr1",205448302,205448398,"-","MI0000810","hsa-mir-135b","hsa-miR-135b-5p","hsa-miR-135b-3p","1","canonical"
"209","chr12",54337216,54337314,"+","MI0000811","hsa-mir-148b","hsa-miR-148b-5p","hsa-miR-148b-3p","1","canonical"
"210","chr12",95308420,95308513,"+","MI0000812","hsa-mir-331","hsa-miR-331-5p","hsa-miR-331-3p","1","canonical"
"211","chr17",7223297,7223379,"-","MI0000813","hsa-mir-324","hsa-miR-324-5p","hsa-miR-324-3p","0","canonical"
"212","chr17",81125883,81125949,"-","MI0000814","hsa-mir-338","hsa-miR-338-5p","hsa-miR-338-3p","1","canonical"
"213","chr7",1022933,1023026,"-","MI0000815","hsa-mir-339","hsa-miR-339-5p","hsa-miR-339-3p","1","canonical"
"214","chr7",130496111,130496204,"+","MI0000816","hsa-mir-335","hsa-miR-335-5p","hsa-miR-335-3p","1","canonical"
"217","chr14",100307859,100307956,"+","MI0000825","hsa-mir-345","hsa-miR-345-5p","hsa-miR-345-3p","1","canonical"
"220","chr7",27169480,27169563,"-","MI0001150","hsa-mir-196b","hsa-miR-196b-5p","hsa-miR-196b-3p","1","canonical"
"222","chr17",30117079,30117172,"+","MI0001445","hsa-mir-423","hsa-miR-423-5p","hsa-miR-423-3p","1","canonical"
"223","chrX",134546614,134546711,"-","MI0001446","hsa-mir-424","hsa-miR-424-5p","hsa-miR-424-3p","1","canonical"
"224","chr3",49020148,49020234,"-","MI0001448","hsa-mir-425","hsa-miR-425-5p","hsa-miR-425-3p","1","canonical"
"225","chrX",134170041,134170111,"-","MI0001518","hsa-mir-18b","hsa-miR-18b-5p","hsa-miR-18b-3p","0","canonical"
"226","chrX",134169809,134169877,"-","MI0001519","hsa-mir-20b","hsa-miR-20b-5p","hsa-miR-20b-3p","1","canonical"
"230","chrX",134540341,134540431,"-","MI0001652","hsa-mir-450a-1","hsa-miR-450a-5p","hsa-miR-450a-1-3p","1","canonical"
"231","chr14",100881007,100881120,"+","MI0001721","hsa-mir-431","hsa-miR-431-5p","hsa-miR-431-3p","1","canonical"
"232","chr14",100881886,100881978,"+","MI0001723","hsa-mir-433","hsa-miR-433-5p","hsa-miR-433-3p","1","canonical"
"233","chr14",101026785,101026864,"+","MI0001725","hsa-mir-329-1","hsa-miR-329-5p","hsa-miR-329-3p","1","canonical"
"234","chr14",101027100,101027183,"+","MI0001726","hsa-mir-329-2","hsa-miR-329-5p","hsa-miR-329-3p","1","canonical"
"236","chrX",151959628,151959712,"-","MI0001733","hsa-mir-452","hsa-miR-452-5p","hsa-miR-452-3p","0","canonical"
"237","chr14",101065300,101065378,"+","MI0001735","hsa-mir-409","hsa-miR-409-5p","hsa-miR-409-3p","1","canonical"
