Chromosome;Type;Coord1;Coord2;Strand;ID;Name;Arm;Derives_from
chr3;miRNA;37969452;37969473;+;MIMAT0004499;hsa-miR-26a-1-3p;3p;MI0000083
chr2;miRNA;218402657;218402677;+;MIMAT0000083;hsa-miR-26b-5p;5p;MI0000084
chr2;miRNA;218402692;218402713;+;MIMAT0004500;hsa-miR-26b-3p;3p;MI0000084
chr19;miRNA;13836447;13836467;-;MIMAT0000084;hsa-miR-27a-3p;3p;MI0000085
chr19;miRNA;13836487;13836508;-;MIMAT0004501;hsa-miR-27a-5p;5p;MI0000085
chr3;miRNA;188688794;188688815;+;MIMAT0000085;hsa-miR-28-5p;5p;MI0000086
chr3;miRNA;188688834;188688855;+;MIMAT0004502;hsa-miR-28-3p;3p;MI0000086
chr7;miRNA;130876748;130876769;-;MIMAT0000086;hsa-miR-29a-3p;3p;MI0000087
chr7;miRNA;130876786;130876807;-;MIMAT0004503;hsa-miR-29a-5p;5p;MI0000087
chr6;miRNA;71403595;71403616;-;MIMAT0000087;hsa-miR-30a-5p;5p;MI0000088
chr6;miRNA;71403554;71403575;-;MIMAT0000088;hsa-miR-30a-3p;3p;MI0000088
chr9;miRNA;21512158;21512178;-;MIMAT0000089;hsa-miR-31-5p;5p;MI0000089
chr9;miRNA;21512121;21512142;-;MIMAT0004504;hsa-miR-31-3p;3p;MI0000089
chr9;miRNA;109046272;109046293;-;MIMAT0000090;hsa-miR-32-5p;5p;MI0000090
chr9;miRNA;109046231;109046252;-;MIMAT0004505;hsa-miR-32-3p;3p;MI0000090
chr22;miRNA;41900949;41900969;+;MIMAT0000091;hsa-miR-33a-5p;5p;MI0000091
chr22;miRNA;41900989;41901010;+;MIMAT0004506;hsa-miR-33a-3p;3p;MI0000091
chr13;miRNA;91351361;91351382;+;MIMAT0000092;hsa-miR-92a-3p;3p;MI0000093
chr13;miRNA;91351324;91351346;+;MIMAT0004507;hsa-miR-92a-1-5p;5p;MI0000093
chrX;miRNA;134169544;134169565;-;MIMAT0000092_1;hsa-miR-92a-3p;3p;MI0000094
chrX;miRNA;134169583;134169604;-;MIMAT0004508;hsa-miR-92a-2-5p;5p;MI0000094
chr7;miRNA;100093815;100093837;-;MIMAT0000093;hsa-miR-93-5p;5p;MI0000095
chr7;miRNA;100093777;100093798;-;MIMAT0004509;hsa-miR-93-3p;3p;MI0000095
chr4;miRNA;8005312;8005333;-;MIMAT0000094;hsa-miR-95-3p;3p;MI0000097
chr4;miRNA;8005347;8005367;-;MIMAT0026473;hsa-miR-95-5p;5p;MI0000097
chr7;miRNA;129774739;129774761;-;MIMAT0000095;hsa-miR-96-5p;5p;MI0000098
chr7;miRNA;129774697;129774718;-;MIMAT0004510;hsa-miR-96-3p;3p;MI0000098
chrX;miRNA;53556299;53556320;-;MIMAT0000096;hsa-miR-98-5p;5p;MI0000100
chrX;miRNA;53556241;53556262;-;MIMAT0022842;hsa-miR-98-3p;3p;MI0000100
chr21;miRNA;16539101;16539122;+;MIMAT0000097;hsa-miR-99a-5p;5p;MI0000101
chr21;miRNA;16539138;16539159;+;MIMAT0004511;hsa-miR-99a-3p;3p;MI0000101
chr11;miRNA;122152275;122152296;-;MIMAT0000098;hsa-miR-100-5p;5p;MI0000102
chr11;miRNA;122152240;122152261;-;MIMAT0004512;hsa-miR-100-3p;3p;MI0000102
chr1;miRNA;65058442;65058462;-;MIMAT0000099;hsa-miR-101-3p;3p;MI0000103
chr1;miRNA;65058477;65058498;-;MIMAT0004513;hsa-miR-101-5p;5p;MI0000103
chr7;miRNA;130877467;130877489;-;MIMAT0000100_1;hsa-miR-29b-3p;3p;MI0000105
chr7;miRNA;130877507;130877530;-;MIMAT0004514;hsa-miR-29b-1-5p;5p;MI0000105
chr1;miRNA;207802450;207802472;-;MIMAT0000100;hsa-miR-29b-3p;3p;MI0000107
chr1;miRNA;207802492;207802513;-;MIMAT0004515;hsa-miR-29b-2-5p;5p;MI0000107
chr20;miRNA;3917541;3917563;+;MIMAT0000101;hsa-miR-103a-3p;3p;MI0000108
chr20;miRNA;3917504;3917526;+;MIMAT0009196;hsa-miR-103a-2-5p;5p;MI0000108
chr5;miRNA;168560904;168560926;-;MIMAT0000101_1;hsa-miR-103a-3p;3p;MI0000109
chrX;miRNA;152392265;152392287;-;MIMAT0000102;hsa-miR-105-5p;5p;MI0000111
chrX;miRNA;152392228;152392249;-;MIMAT0004516;hsa-miR-105-3p;3p;MI0000111
chrX;miRNA;152394458;152394480;-;MIMAT0000102_1;hsa-miR-105-5p;5p;MI0000112
chrX;miRNA;152394421;152394442;-;MIMAT0004516_1;hsa-miR-105-3p;3p;MI0000112
chrX;miRNA;134170244;134170266;-;MIMAT0000103;hsa-miR-106a-5p;5p;MI0000113
chrX;miRNA;134170208;134170229;-;MIMAT0004517;hsa-miR-106a-3p;3p;MI0000113
chr10;miRNA;89592756;89592778;-;MIMAT0000104;hsa-miR-107;07;MI0000114
chr3;miRNA;160404754;160404775;+;MIMAT0000069_1;hsa-miR-16-5p;5p;MI0000115
chr3;miRNA;160404797;160404818;+;MIMAT0004518;hsa-miR-16-2-3p;3p;MI0000115
chr11;miRNA;64891203;64891223;-;MIMAT0000222;hsa-miR-192-5p;5p;MI0000234
chr11;miRNA;64891159;64891180;-;MIMAT0004543;hsa-miR-192-3p;3p;MI0000234
chr17;miRNA;48632532;48632553;-;MIMAT0000226_1;hsa-miR-196a-5p;5p;MI0000238
chr1;miRNA;109598940;109598961;+;MIMAT0000227;hsa-miR-197-3p;3p;MI0000239
chr1;miRNA;109598901;109598923;+;MIMAT0022691;hsa-miR-197-5p;5p;MI0000239
chr3;miRNA;120395703;120395724;-;MIMAT0000228;hsa-miR-198;98;MI0000240
chr19;miRNA;10817469;10817491;-;MIMAT0000231_1;hsa-miR-199a-5p;5p;MI0000242
chr19;miRNA;10817429;10817450;-;MIMAT0000232_1;hsa-miR-199a-3p;3p;MI0000242
chr14;miRNA;23388602;23388623;-;MIMAT0000241;hsa-miR-208a-3p;3p;MI0000251
chr14;miRNA;23388637;23388658;-;MIMAT0026474;hsa-miR-208a-5p;5p;MI0000251
chr7;miRNA;128207876;128207896;+;MIMAT0000242_1;hsa-miR-129-5p;5p;MI0000252
chr7;miRNA;128207920;128207941;+;MIMAT0004548;hsa-miR-129-1-3p;3p;MI0000252
chr7;miRNA;25949922;25949943;-;MIMAT0000243;hsa-miR-148a-3p;3p;MI0000253
chr7;miRNA;25949960;25949981;-;MIMAT0004549;hsa-miR-148a-5p;5p;MI0000253
chr6;miRNA;71377003;71377025;-;MIMAT0000244_1;hsa-miR-30c-5p;5p;MI0000254
chr6;miRNA;71376964;71376985;-;MIMAT0004550;hsa-miR-30c-2-3p;3p;MI0000254
chr8;miRNA;134804919;134804940;-;MIMAT0000245;hsa-miR-30d-5p;5p;MI0000255
chr8;miRNA;134804879;134804900;-;MIMAT0004551;hsa-miR-30d-3p;3p;MI0000255
chr11;miRNA;72615102;72615124;-;MIMAT0000250;hsa-miR-139-5p;5p;MI0000261
chr11;miRNA;72615066;72615088;-;MIMAT0004552;hsa-miR-139-3p;3p;MI0000261
chr9;miRNA;120244985;120245004;-;MIMAT0000251;hsa-miR-147a;7a;MI0000262
chr9;miRNA;83969812;83969834;-;MIMAT0000252_2;hsa-miR-7-5p;5p;MI0000263
chr9;miRNA;83969771;83969792;-;MIMAT0004553;hsa-miR-7-1-3p;3p;MI0000263
chr15;miRNA;88611856;88611878;+;MIMAT0000252;hsa-miR-7-5p;5p;MI0000264
chr15;miRNA;88611896;88611917;+;MIMAT0004554;hsa-miR-7-2-3p;3p;MI0000264
chr19;miRNA;4770700;4770722;+;MIMAT0000252_1;hsa-miR-7-5p;5p;MI0000265
chr17;miRNA;48579904;48579926;-;MIMAT0000253;hsa-miR-10a-5p;5p;MI0000266
chr17;miRNA;48579864;48579885;-;MIMAT0004555;hsa-miR-10a-3p;3p;MI0000266
chr2;miRNA;176150329;176150351;+;MIMAT0000254;hsa-miR-10b-5p;5p;MI0000267
chr2;miRNA;176150368;176150389;+;MIMAT0004556;hsa-miR-10b-3p;3p;MI0000267
chr1;miRNA;9151735;9151756;-;MIMAT0000255;hsa-miR-34a-5p;5p;MI0000268
chr1;miRNA;9151693;9151714;-;MIMAT0004557;hsa-miR-34a-3p;3p;MI0000268
chr9;miRNA;124692480;124692502;+;MIMAT0000256_1;hsa-miR-181a-5p;5p;MI0000269
chr9;miRNA;124692518;124692539;+;MIMAT0004558;hsa-miR-181a-2-3p;3p;MI0000269
chr1;miRNA;198858925;198858947;-;MIMAT0000257;hsa-miR-181b-5p;5p;MI0000270
chr1;miRNA;198858887;198858907;-;MIMAT0022692;hsa-miR-181b-3p;3p;MI0000270
chr19;miRNA;13874725;13874746;+;MIMAT0000258;hsa-miR-181c-5p;5p;MI0000271
chr19;miRNA;13874763;13874784;+;MIMAT0004559;hsa-miR-181c-3p;3p;MI0000271
chr7;miRNA;129770447;129770470;-;MIMAT0000259;hsa-miR-182-5p;5p;MI0000272
chr7;miRNA;129770406;129770426;-;MIMAT0000260;hsa-miR-182-3p;3p;MI0000272
chr7;miRNA;129774967;129774988;-;MIMAT0000261;hsa-miR-183-5p;5p;MI0000273
chr7;miRNA;129774928;129774949;-;MIMAT0004560;hsa-miR-183-3p;3p;MI0000273
chr18;miRNA;35904835;35904856;-;MIMAT0000262;hsa-miR-187-3p;3p;MI0000274
chr18;miRNA;35904871;35904892;-;MIMAT0004561;hsa-miR-187-5p;5p;MI0000274
chr12;miRNA;53991762;53991783;+;MIMAT0000226;hsa-miR-196a-5p;5p;MI0000279
chr12;miRNA;53991799;53991820;+;MIMAT0004562;hsa-miR-196a-3p;3p;MI0000279
chr1;miRNA;172144592;172144614;-;MIMAT0000231;hsa-miR-199a-5p;5p;MI0000281
chr1;miRNA;172144554;172144575;-;MIMAT0000232;hsa-miR-199a-3p;3p;MI0000281
chr9;miRNA;128244783;128244805;-;MIMAT0000263;hsa-miR-199b-5p;5p;MI0000282
chr9;miRNA;128244745;128244766;-;MIMAT0004563;hsa-miR-199b-3p;3p;MI0000282
chr14;miRNA;104117469;104117490;+;MIMAT0000264;hsa-miR-203a-3p;3p;MI0000283
chr14;miRNA;104117431;104117455;+;MIMAT0031890;hsa-miR-203a-5p;5p;MI0000283
chr9;miRNA;70810031;70810052;-;MIMAT0000265;hsa-miR-204-5p;5p;MI0000284
chr9;miRNA;70809993;70810013;-;MIMAT0022693;hsa-miR-204-3p;3p;MI0000284
chr1;miRNA;209432166;209432187;+;MIMAT0000266;hsa-miR-205-5p;5p;MI0000285
chr1;miRNA;209432203;209432223;+;MIMAT0009197;hsa-miR-205-3p;3p;MI0000285
chr11;miRNA;568112;568133;-;MIMAT0000267;hsa-miR-210-3p;3p;MI0000286
chr11;miRNA;568150;568171;-;MIMAT0026475;hsa-miR-210-5p;5p;MI0000286
chr15;miRNA;31065095;31065116;-;MIMAT0000268;hsa-miR-211-5p;5p;MI0000287
chr15;miRNA;31065059;31065079;-;MIMAT0022694;hsa-miR-211-3p;3p;MI0000287
chr17;miRNA;2050290;2050310;-;MIMAT0000269;hsa-miR-212-3p;3p;MI0000288
chr17;miRNA;2050328;2050350;-;MIMAT0022695;hsa-miR-212-5p;5p;MI0000288
chr1;miRNA;198859108;198859130;-;MIMAT0000256;hsa-miR-181a-5p;5p;MI0000289
chr1;miRNA;198859069;198859090;-;MIMAT0000270;hsa-miR-181a-3p;3p;MI0000289
chr1;miRNA;172138816;172138837;-;MIMAT0000271;hsa-miR-214-3p;3p;MI0000290
chr1;miRNA;172138857;172138878;-;MIMAT0004564;hsa-miR-214-5p;5p;MI0000290
chr1;miRNA;220117916;220117936;-;MIMAT0000272;hsa-miR-215-5p;5p;MI0000291
chr1;miRNA;220117877;220117899;-;MIMAT0026476;hsa-miR-215-3p;3p;MI0000291
chr2;miRNA;55989020;55989041;-;MIMAT0000273;hsa-miR-216a-5p;5p;MI0000292
chr2;miRNA;55988981;55989002;-;MIMAT0022844;hsa-miR-216a-3p;3p;MI0000292
chr2;miRNA;55983020;55983042;-;MIMAT0000274;hsa-miR-217;17;MI0000293
chr4;miRNA;20528299;20528319;+;MIMAT0000275;hsa-miR-218-5p;5p;MI0000294
chr4;miRNA;20528342;20528363;+;MIMAT0004565;hsa-miR-218-1-3p;3p;MI0000294
chr5;miRNA;168768211;168768231;-;MIMAT0000275_1;hsa-miR-218-5p;5p;MI0000295
chr5;miRNA;168768168;168768189;-;MIMAT0004566;hsa-miR-218-2-3p;3p;MI0000295
chr6;miRNA;33207855;33207875;+;MIMAT0000276;hsa-miR-219a-5p;5p;MI0000296
chr6;miRNA;33207896;33207917;+;MIMAT0004567;hsa-miR-219a-1-3p;3p;MI0000296
chrX;miRNA;45746180;45746202;-;MIMAT0000278;hsa-miR-221-3p;3p;MI0000298
chrX;miRNA;45746221;45746242;-;MIMAT0004568;hsa-miR-221-5p;5p;MI0000298
chrX;miRNA;45747036;45747056;-;MIMAT0000279;hsa-miR-222-3p;3p;MI0000299
chrX;miRNA;45747073;45747094;-;MIMAT0004569;hsa-miR-222-5p;5p;MI0000299
chrX;miRNA;66018937;66018958;+;MIMAT0000280;hsa-miR-223-3p;3p;MI0000300
chrX;miRNA;66018895;66018916;+;MIMAT0004570;hsa-miR-223-5p;5p;MI0000300
chrX;miRNA;151958631;151958651;-;MIMAT0000281;hsa-miR-224-5p;5p;MI0000301
chrX;miRNA;151958584;151958606;-;MIMAT0009198;hsa-miR-224-3p;3p;MI0000301
chr1;miRNA;1167160;1167181;+;MIMAT0000318;hsa-miR-200b-3p;3p;MI0000342
chr1;miRNA;1167124;1167145;+;MIMAT0004571;hsa-miR-200b-5p;5p;MI0000342
chr3;miRNA;52268336;52268357;-;MIMAT0000414;hsa-let-7g-5p;5p;MI0000433
chr3;miRNA;52268280;52268300;-;MIMAT0004584;hsa-let-7g-3p;3p;MI0000433
chr12;miRNA;62603691;62603712;+;MIMAT0000415;hsa-let-7i-5p;5p;MI0000434
chr12;miRNA;62603747;62603768;+;MIMAT0004585;hsa-let-7i-3p;3p;MI0000434
chr18;miRNA;21829015;21829036;-;MIMAT0000416;hsa-miR-1-3p;3p;MI0000437
chr3;miRNA;160404607;160404628;+;MIMAT0000417;hsa-miR-15b-5p;5p;MI0000438
chr3;miRNA;160404645;160404666;+;MIMAT0004586;hsa-miR-15b-3p;3p;MI0000438
chr9;miRNA;95085265;95085285;+;MIMAT0000418;hsa-miR-23b-3p;3p;MI0000439
chr9;miRNA;95085227;95085248;+;MIMAT0004587;hsa-miR-23b-5p;5p;MI0000439
chr9;miRNA;95085505;95085525;+;MIMAT0000419;hsa-miR-27b-3p;3p;MI0000440
chr9;miRNA;95085463;95085484;+;MIMAT0004588;hsa-miR-27b-5p;5p;MI0000440
chr8;miRNA;134800570;134800591;-;MIMAT0000420;hsa-miR-30b-5p;5p;MI0000441
chr8;miRNA;134800532;134800553;-;MIMAT0004589;hsa-miR-30b-3p;3p;MI0000441
chr18;miRNA;58451088;58451109;+;MIMAT0000421;hsa-miR-122-5p;5p;MI0000442
chr18;miRNA;58451124;58451145;+;MIMAT0004590;hsa-miR-122-3p;3p;MI0000442
chr8;miRNA;9903401;9903420;-;MIMAT0000422_1;hsa-miR-124-3p;3p;MI0000443
chr8;miRNA;9903438;9903459;-;MIMAT0004591_1;hsa-miR-124-5p;5p;MI0000443
chr8;miRNA;64379210;64379229;+;MIMAT0000422_2;hsa-miR-124-3p;3p;MI0000444
chr8;miRNA;64379173;64379194;+;MIMAT0004591_2;hsa-miR-124-5p;5p;MI0000444
chr20;miRNA;63178552;63178571;+;MIMAT0000422;hsa-miR-124-3p;3p;MI0000445
chr20;miRNA;63178514;63178535;+;MIMAT0004591;hsa-miR-124-5p;5p;MI0000445
chr11;miRNA;122099809;122099830;-;MIMAT0000423;hsa-miR-125b-5p;5p;MI0000446
chr11;miRNA;122099769;122099790;-;MIMAT0004592;hsa-miR-125b-1-3p;3p;MI0000446
chr2;miRNA;135665446;135665466;+;MIMAT0000424;hsa-miR-128-3p;3p;MI0000447
chr2;miRNA;135665411;135665433;+;MIMAT0026477;hsa-miR-128-1-5p;5p;MI0000447
chr11;miRNA;57641252;57641273;+;MIMAT0000425;hsa-miR-130a-3p;3p;MI0000448
chr11;miRNA;57641218;57641239;+;MIMAT0004593;hsa-miR-130a-5p;5p;MI0000448
chr17;miRNA;2049929;2049950;-;MIMAT0000426;hsa-miR-132-3p;3p;MI0000449
chr17;miRNA;2049965;2049986;-;MIMAT0004594;hsa-miR-132-5p;5p;MI0000449
chr18;miRNA;21825712;21825733;-;MIMAT0000427;hsa-miR-133a-3p;3p;MI0000450
chr18;miRNA;21825749;21825770;-;MIMAT0026478;hsa-miR-133a-5p;5p;MI0000450
chr20;miRNA;62564970;62564991;+;MIMAT0000427_1;hsa-miR-133a-3p;3p;MI0000451
chr20;miRNA;62564933;62564954;+;MIMAT0026478_1;hsa-miR-133a-5p;5p;MI0000451
chr3;miRNA;52294270;52294292;-;MIMAT0000428_1;hsa-miR-135a-5p;5p;MI0000452
chr3;miRNA;52294232;52294253;-;MIMAT0004595;hsa-miR-135a-3p;3p;MI0000452
chr12;miRNA;97563834;97563856;+;MIMAT0000428;hsa-miR-135a-5p;5p;MI0000453
chr1;miRNA;98046091;98046113;-;MIMAT0000429;hsa-miR-137;37;MI0000454
chr16;miRNA;56858527;56858549;+;MIMAT0000430;hsa-miR-138-5p;5p;MI0000455
chr16;miRNA;56858574;56858595;+;MIMAT0004596;hsa-miR-138-2-3p;3p;MI0000455
chr16;miRNA;69933103;69933124;+;MIMAT0000431;hsa-miR-140-5p;5p;MI0000456
chr16;miRNA;69933142;69933162;+;MIMAT0004597;hsa-miR-140-3p;3p;MI0000456
chr12;miRNA;6964155;6964176;+;MIMAT0000432;hsa-miR-141-3p;3p;MI0000457
chr12;miRNA;6964113;6964134;+;MIMAT0004598;hsa-miR-141-5p;5p;MI0000457
chr17;miRNA;58331283;58331303;-;MIMAT0000433;hsa-miR-142-5p;5p;MI0000458
chr17;miRNA;58331245;58331267;-;MIMAT0000434;hsa-miR-142-3p;3p;MI0000458
chr5;miRNA;149428978;149428998;+;MIMAT0000435;hsa-miR-143-3p;3p;MI0000459
chr5;miRNA;149428944;149428965;+;MIMAT0004599;hsa-miR-143-5p;5p;MI0000459
chr17;miRNA;28861548;28861567;-;MIMAT0000436;hsa-miR-144-3p;3p;MI0000460
chr17;miRNA;28861583;28861604;-;MIMAT0004600;hsa-miR-144-5p;5p;MI0000460
chr5;miRNA;149430661;149430683;+;MIMAT0000437;hsa-miR-145-5p;5p;MI0000461
chr5;miRNA;149430699;149430720;+;MIMAT0004601;hsa-miR-145-3p;3p;MI0000461
chr17;miRNA;48037174;48037194;-;MIMAT0000438;hsa-miR-152-3p;3p;MI0000462
chr17;miRNA;48037210;48037232;-;MIMAT0026479;hsa-miR-152-5p;5p;MI0000462
chr2;miRNA;219294126;219294147;-;MIMAT0000439;hsa-miR-153-3p;3p;MI0000463
chr7;miRNA;157574349;157574370;-;MIMAT0000439_1;hsa-miR-153-3p;3p;MI0000464
chr7;miRNA;157574387;157574408;-;MIMAT0026480;hsa-miR-153-5p;5p;MI0000464
chr3;miRNA;49020672;49020694;-;MIMAT0000440;hsa-miR-191-5p;5p;MI0000465
chr3;miRNA;49020631;49020652;-;MIMAT0001618;hsa-miR-191-3p;3p;MI0000465
chr1;miRNA;156420392;156420414;-;MIMAT0000441;hsa-miR-9-5p;5p;MI0000466
chr1;miRNA;156420354;156420375;-;MIMAT0000442;hsa-miR-9-3p;3p;MI0000466
chr5;miRNA;88666902;88666924;-;MIMAT0000441_2;hsa-miR-9-5p;5p;MI0000467
chr5;miRNA;88666866;88666887;-;MIMAT0000442_2;hsa-miR-9-3p;3p;MI0000467
chr15;miRNA;89368032;89368054;+;MIMAT0000441_1;hsa-miR-9-5p;5p;MI0000468
chr15;miRNA;89368071;89368092;+;MIMAT0000442_1;hsa-miR-9-3p;3p;MI0000468
chr19;miRNA;51693268;51693291;+;MIMAT0000443;hsa-miR-125a-5p;5p;MI0000469
chr19;miRNA;51693306;51693327;+;MIMAT0004602;hsa-miR-125a-3p;3p;MI0000469
chr21;miRNA;16590253;16590274;+;MIMAT0000423_1;hsa-miR-125b-5p;5p;MI0000470
chr21;miRNA;16590290;16590311;+;MIMAT0004603;hsa-miR-125b-2-3p;3p;MI0000470
chr9;miRNA;136670616;136670636;+;MIMAT0000444;hsa-miR-126-5p;5p;MI0000471
chr9;miRNA;136670653;136670674;+;MIMAT0000445;hsa-miR-126-3p;3p;MI0000471
chr14;miRNA;100883035;100883056;+;MIMAT0000446;hsa-miR-127-3p;3p;MI0000472
chr14;miRNA;100883001;100883022;+;MIMAT0004604;hsa-miR-127-5p;5p;MI0000472
chr11;miRNA;43581408;43581428;+;MIMAT0000242;hsa-miR-129-5p;5p;MI0000473
chr11;miRNA;43581450;43581471;+;MIMAT0004605;hsa-miR-129-2-3p;3p;MI0000473
chr14;miRNA;101054694;101054715;+;MIMAT0000447;hsa-miR-134-5p;5p;MI0000474
chr14;miRNA;101054732;101054754;+;MIMAT0026481;hsa-miR-134-3p;3p;MI0000474
chr14;miRNA;100884716;100884738;+;MIMAT0000448;hsa-miR-136-5p;5p;MI0000475
chr14;miRNA;100884750;100884771;+;MIMAT0004606;hsa-miR-136-3p;3p;MI0000475
chr3;miRNA;44114234;44114256;+;MIMAT0000430_1;hsa-miR-138-5p;5p;MI0000476
chr3;miRNA;44114274;44114295;+;MIMAT0004607;hsa-miR-138-1-3p;3p;MI0000476
chr5;miRNA;160485372;160485393;+;MIMAT0000449;hsa-miR-146a-5p;5p;MI0000477
chr5;miRNA;160485408;160485429;+;MIMAT0004608;hsa-miR-146a-3p;3p;MI0000477
chr2;miRNA;240456015;240456037;+;MIMAT0000450;hsa-miR-149-5p;5p;MI0000478
chr2;miRNA;240456056;240456076;+;MIMAT0004609;hsa-miR-149-3p;3p;MI0000478
chr19;miRNA;49500832;49500853;-;MIMAT0000451;hsa-miR-150-5p;5p;MI0000479
chr19;miRNA;49500797;49500818;-;MIMAT0004610;hsa-miR-150-3p;3p;MI0000479
chr14;miRNA;101059769;101059790;+;MIMAT0000452;hsa-miR-154-5p;5p;MI0000480
chr14;miRNA;101059805;101059826;+;MIMAT0000453;hsa-miR-154-3p;3p;MI0000480
chr15;miRNA;79209840;79209861;+;MIMAT0000454;hsa-miR-184;84;MI0000481
chr22;miRNA;20033153;20033174;+;MIMAT0000455;hsa-miR-185-5p;5p;MI0000482
chr22;miRNA;20033188;20033209;+;MIMAT0004611;hsa-miR-185-3p;3p;MI0000482
chr1;miRNA;71067681;71067702;-;MIMAT0000456;hsa-miR-186-5p;5p;MI0000483
chr1;miRNA;71067642;71067663;-;MIMAT0004612;hsa-miR-186-3p;3p;MI0000483
chrX;miRNA;50003517;50003537;+;MIMAT0000457;hsa-miR-188-5p;5p;MI0000484
